Season,Game Date,Opponent,Game Tier,Attendance at tip,Total Attendance,Promo,Note
2018-19,10/19/2018,Indiana Pacers,Tier A,14921,15001,Tshirt & rally towel Fiserv,First game in Fiserv Forum
2018-19,10/22/2018,New York Knicks,Tier D,11967,12156,,
2018-19,10/24/2018,Philadelphia 76ers,Tier C,13183,13357,,
2018-19,10/27/2018,Orlando Magic,Tier C,13817,13972,,
2018-19,10/29/2018,Toronto Raptors,Tier C,13976,14243,,
2018-19,11/4/2018,Sacramento Kings,Tier D,12666,15121,,
2018-19,11/14/2018,Memphis Grizzlies,Tier D,9757,13176,WE Energies Camo Hat,First 10K fans
2018-19,11/16/2018,Chicago Bulls,Tier D,10846,15503,,
2018-19,11/19/2018,Denver Nuggets,Tier C,11163,14678,,
2018-19,11/21/2018,Portland Trail Blazers,Tier D,13193,15913,,
2018-19,11/23/2018,Phoenix Suns,Tier D,14274,16003,,
2018-19,11/24/2018,San Antonio Spurs,Tier C,14263,15997,,
2018-19,11/28/2018,Chicago Bulls,Tier C,10125,13754,,
2018-19,12/5/2018,Detroit Pistons,Tier D,9506,13042,,
2018-19,12/7/2018,Golden State Warriors,Tier D,15340,16988,,
2018-19,12/10/2018,Cleveland Cavaliers,Tier A,10366,13180,,
2018-19,12/19/2018,New Orleans Pelicans,Tier D,12435,17026,Malcolm on the Mantel,First 5K kids
2018-19,12/27/2018,New York Knicks,Tier D,13738,16176,,
2018-19,12/29/2018,Brooklyn Nets,Tier C,14873,16554,,
2018-19,1/1/2019,Detroit Pistons,Tier D,14405,15609,Bucks Beanie,First 10K fans
2018-19,1/4/2019,Atlanta Hawks,Tier D,14808,16469,,
2018-19,1/5/2019,Toronto Raptors,Tier C,16013,17103,Bucks Duffel bag,First 10K fans
2018-19,1/7/2019,Utah Jazz,Tier D,12719,15299,,
2018-19,1/15/2019,Miami Heat,Tier D,12869,16090,,
2018-19,1/21/2019,Dallas Mavericks,Tier D,13360,15642,,
2018-19,1/25/2019,Charlotte Hornets,Tier C,13370,16328,Youth Jersey (Khris),First 5K kids
2018-19,2/6/2019,Washington Wizards,Tier D,12308,15255,BMO Hat series giveaway,First 10K fans
2018-19,2/9/2019,Orlando Magic,Tier C,14052,16321,,
2018-19,2/21/2019,Boston Celtics,Tier B,12591,16662,,
2018-19,2/23/2019,Minnesota Timberwolves,Tier C,15402,16812,BMO hat series giveaway,First 10K fans
2018-19,3/7/2019,Indiana Pacers,Tier D,12244,15597,,
2018-19,3/9/2019,Charlotte Hornets,Tier C,13615,16168,,
2018-19,3/17/2019,Philadelphia 76ers,Tier B,16698,16851,Bucks Scarf,First 10K fans
2018-19,3/19/2019,Los Angeles Lakers,Tier A,15930,16274,,
2018-19,3/22/2019,Miami Heat,Tier C,15407,16315,,
2018-19,3/24/2019,Cleveland Cavaliers,Tier C,15702,15971,,
2018-19,3/26/2019,Houston Rockets,Tier C,16021,16696,,
2018-19,3/28/2019,Los Angeles Clippers,Tier D,14797,15847,,
2018-19,4/6/2019,Brooklyn Nets,Tier C,16204,16358,BMO hat series giveaway,First 10K fans
2018-19,4/7/2019,Atlanta Hawks,Tier C,15304,15472,,
2018-19,4/10/2019,Oklahoma City Thunder,Tier B,15975,16155,Giannis Bobblehead,First 10K fans
